Zombie Flesh,"Can spread a disease to someone, letting you control their body and letting them spread your control further the same way."
Transmutation,"You can change what something is made of, to be made of anything else."
Technological Form,Become a computer program able to control or merge with computers.
Swarm-Selves,You split into many smaller yous that do what you want until you want them to rejoin into a single you again.
Swallowing Limbo,You can swallow anything and store it inside yourself until you need it again. Then you can vomit it back up harmlessly.
Superliminal Flight,Faster-than-light speed to cover vast distances or even time travel.
Super Regeneration,Able to heal from any wound or level of damage in moments.
Sub-Zero,"Can lower temperatures to freeze items and areas, or create ice at will."
Stretch Time,Able to alter your perception of time to allow for more time to think or react in a given moment
Slime Generation,"You produce slime as thick, sticky, acidic, or not, as desired to trap enemies or create surfaces."
Shadow Manipulation,"Able to seemingly vanish into shadows, move between them via teleportation, and/or mentally control them like constructs"
Self-Explosion,"Able to blow yourself up like a bomb with destructive force, and re-form back together in the same place afterwards, unharmed."
Rocket Charge,"You can launch yourself in a straight line, potentially through solid objects, often leaving a trail of harmless energy akin to a rocket trail."
Re-channel Kinetic Energy,Able to absorb kinetic energy from impacts or motion and convert it at will to enhance their body either defensively or offensively
Rainmaker,Can cause rain to fall in a given area ranging from a light drizzle to a downpour
Prodigious Multiple Arms,"Can grow more arms, each one able to perform a different action at the same time"
Prodigious Limbs,"You have oversized limbs, granting more strength, reach, speed, jumping, and the like."
Portals,Can create an opening of any size from where you are to anywhere you want to go
Polymorph,You can change people and things into other things or people.
Petrification,You can turn people or things into stone versions of themselves by touching or looking at them.
Pestilence,"Can unleash a disease with any symptoms and/or infectivity you choose, upon either a person or location"
Pause Temporal Flow,Cause time for everyone but you to freeze for a short time
Monstrous Form,"Able to transform temporarily into a bestial form with enhanced strength, speed, and durability, often scaring those who witness it."
Molecular Compression,"You can make things around you denser and/or more solid, such as objects, water, or even air."
Metal Manipulation,"Able to control and manipulate metallic objects to change their shape, hardness, and mobility."
Merge Bio-Mass,"Able to absorb body parts from other entities and add them to oneself, gaining the abilities of the parts taken."
Mega-Tail,"You have a large prehensile tail with enhanced strength, that may or may not have extra abilities."
Matter Expulsion - Wood,"You can dispense and manipulate wood from your body, and shape other wood to create objects and/or structures"
Matter Expulsion - Plastic,You can create and manipulate plastics to mold into shapes and harden for defense and/or restraint.
Matter Expulsion - Bone,You can create and expel copies of your bones for use as weapons or constructs you might control
Machine Merge,"Able to merge parts or all of their body with machines to enhance the machine’s or their own physical abilities, and/or control the machines directly"
Life Leech,"Drains the life force or vitality from others, weakening them while healing or empowering you, potentially extending your own lifespan or abilities."
Junkyard,"User can control scrap materials, shaping them into new forms and even making them act as constructs under their control"
Jinx Power,"You can cause targets to experience bad luck and misfortune more than usual, in the form of accidents and mishaps in perhaps unusual ways"
