Find Object,You can always find significant objects when investigating a scene.
Hold Breath,You can hold your breath for at least five minutes
Hyperthymesia,You can recall their personal experiences with exceptional clarity.
Timely Arrival,You always arrive precisely on time.
Start Engine,You are fantastic at activating damaged or alien machines.
Snappy Dresser,You always look good in clothing.
Trivial Mastermind,You have one area of knowledge you know exceptionally well.
Dog Whisperer,Canines always respond exceptionally well to you.
Bad Engineer,"Any device you try to fix, you break."
Sly Wink,You can convince others of something by giving them a secretive nod and wink.
Limit Sense,You know the exact limit an object can take before it breaks/fails.
Plague Rat,"You can pass on a moderately debilitating illness by coughing, spitting, or vomiting on another living thing."
Authority Scanner,You always know how far away the authorities/professionals are and their direction.
Twenty Bucks,There is a good chance you have at least $20 on you at any time.
Accurate Guess,"You can guess a person's name, favorite color, age, star sign, etc, with uncanny accuracy."
Bendy Bones,"You have flexible bones; falls do less damage, and you can contort like a circus performer."
Spotless,"You are always clean; dirt, gore, and grime slide right off you."
Garbage Guts,You can eat any organic material that is not toxic.
Nailed It,"As long as it is a thrown object and you call the shot out, it will not miss."
Pop Quotes,"You can recall any line from a movie, TV or streaming show, song lyrics, or passage from any novel or play."
Jokester,Your jokes and roasting remarks can stun opponents at critical moments and cause them to act rashly.
Exceptional Skill,"You are exceptionally skilled at one thing (Baking, welding steel, playing golf, online gambling, etc)."
Jedi Mind Trick,"You can get a drugged, dim-witted, distracted, confused, or flustered person to agree to anything you say."
Booze Resistance,"It takes at least three times as much alcohol to intoxicate you, and the effects are mild."
Clockwork Precision,"You have an innate, perfect sense of time."
Loud Voice,Your voice can amplify to 130 decibels (it can be heard at twice the average distance possible).
Photogenic,You look exceptional in photos and videos; it's uncanny - like they were professionally recorded.
Exceptional Dancer,You are naturally gifted and can quickly grab attention with your moves.
Numb,"You don't feel pain, but you do feel some physical sensations; it has its ups and downs."
Perfect Direction,You are like a natural compass; your sense of direction is exceptional.
PinPoint Spit,You can hoik spit for a fantastic distance with incredible accuracy. Trick shots and ricochets are no issue.
Renowned Skill,"Not only are you an expert in one area of expertise, but you are also well known to be the best in the world."
Social Butterfly,You constantly run into people you know from other social events (a good chance you know the NPC).
Showmanship,You can always do something MUCH better if an audience is watching you (Attention Powered).
Super Guess,You can finish the second half of any sentence you hear (even works for passwords)
Second Guess,You can prevent a specific action from another person by stating precisely what that action is before they do it.
Cutting Remark,You have a knack for saying the right thing at the right time (always gets quoted by reporters)
Idiot Savant,"You are exceptionally good at a specific skill (mathematics, mechanics, linguistics, etc) but not many others."
Nigh Photographic Memory,"You think you can recall everything you experience with perfect accuracy, but it's not 100%"
False Impression,You always seem to be holding back your true power; others expect you to be more formidable.
Fluke it,"There is a good chance a random shot you make will hit dead on target (works outside combat, general luck)"
The Eye,You can erode other's confidence by staring at them (they must know you are doing this).
Summon Flies,You can cause flies nearby to fly where you command them.
Self-Assured,You are never spooked or lack hope and confidence; you have an unshakable sense of calm purpose.
Paranoid,"Your belief that someone is out to get you makes it difficult to tail, bug, hack, or ambush you due to your vigilance."
Fall Resistance,You take no damage from a 20-story fall onto solid concrete pavement.
Perfect Pitch,You can sing well and shatter crystal and some glass just from the frequency of your voice.
Fast Learning,"You can replicate a skill you observe someone else using, matching their abilities perfectly for a short time."
Sick 'Em,You can incite violence from ordinary animals directed at a target you specify within sight.
Super Suit,"You have a superhero costume of advanced, nearly indestructible materials that has some existing legacy."
Sleeplessness,"While you no longer need to sleep, you don't believe it and try all sorts of remedies for insomnia."
Pep Talk,Your motivational speeches are incredibly effective and can drive ordinary people into a frenzy of self-assurance.
Karmic Quirk,You tend to achieve goals without trying and letting random accidents happen.
Arch Nemesis,"You always get targeted first, are seen as the biggest threat, and incite the most hatred from opponents."
Flawless Skin,Your skin has a regenerative healing factor and forms no scars; you always look healthy on the outside.
Clumsy,You may achieve your objectives even if you fail spectacularly (always suffering minor injuries and damaging gear).
Bend Metal,You can bend small metal objects with the power of your mind.
Lie Detector,You can tell if someone is not telling the truth; proximity and physical contact significantly increase the accuracy.
Obscure Famous,"You are well-known for something unrelated to your other powers (e.g., Famous fantasy novelist)."
Iron Fist,"You can punch hard enough to break wood boards, bricks, etc. Your hands are as tough as iron."
Stage Fright,You are much better at almost everything you do when nobody can see what you are doing.
Nerve Pinch,You can grip a cluster of nerves on a person's exposed neck and knock them out for 40 seconds.
Unimpressive,"You look less robust, capable, and prepared than you are, causing everyone to underestimate you."
Speak Madness,You have no problem understanding the communication of mentally deranged people.
Mystic Adept,"While untrained, you can sense magic and use magical devices and spells you encounter."
Reincarnated,"You may not believe it, but you can call on skills learned in past lives to overcome challenges and obstacles."
Discounts,"You can always find a bargain, discount, valid coupon, special deal, etc. You barter and make deals with ease."
Agile Hands,You are gifted at sleight-of-hand and can catch objects with incredible grace and speed.
Sound Mimic,You can make a vocal clone of almost any sound you have heard.
Uncanny Timing,"You arrive just as the action starts (appear during a robbery, etc.) like you have a crime sense."
