Rodent dentures,"Your incisors restructure to be more like those of rodents. Rootless and ever-growing, you need to keep them ground down to size."
Phase Arm,"your arms appear where they need to be, but the rest of the time are randomly located"
Second Jaw,"You have a second set of teeth and a jaw inside your mouth, non-retractable"
Mushroom Meat,You have body tissue that more closely resembles and functions like fungus
Rat Tail,"You have an actual thick, pink, hairless rat tail growing from the back of your skull"
Webbed feet,You have Duck feet
Outlandish Accent,You speak in an accent not native to Earth
Little Voice,"You have vocal cords in a secondary orifice on your body, it can speak the same time you do"
Double Joint,You gain a second Elbow on each arm
Spots,Your skin grows a polka-dot pattern in coloration
Spine Knee,Your knee sprouts tiny hollow spikes that easily break off
Extended Neck,Your neck grows one foot longer
Tail,You grow a tail (Roll a d10) 1. Cat tail  2. Dog tail  3. Lizard tail  4. Gator tail  5. Rabbit tail  6. Rat tail  7. Fish tail  8. Monkey tail  9. Scorpion tail missing the stinger  10. Tentacle
Tail   1,Cat tail
Tail   2,Dog tail
Tail   3,Lizard tail
Tail   4,Gator tail
Tail   5,Rabbit tail
Tail   6,Rat tail
Tail   7,Fish tail
Tail   8,Monkey tail
Tail   9,Scorpion tail missing the stinger
Tail   10,Tentacle
Hand Puppet,"You can make a mouth with your hand and fingers that actually talks, can smoke, eat, etc"
Hair Glow,Your hair glows brightly in the dark
Mouths,"You can turn any fold in your body surface into a functional, temporary mouth"
Shifting Features,"Your facial features slowly move around on your head, day to day"
Silky,"Your skin is exceptionally smooth, freakishly featureless and glossy"
Guzzler,"You can drink constantly, it will eventually pour out, but you can consume enormous quantities of fluid"
Hydrophobic,"Your body will not absorb water, at all, your skin repels it"
Hydrophilic,You are constantly moist
Backwards Joints,You joints fold the opposite way
Tongue Tongue,"Your skin is similar to the surface of your tongue, you can taste everything you touch"
Pinocchio,Your nose can grow in size when you are under stress (slowly shrinks back afterward)
Scritchy,Your body is covered with fingernails
Hair Grass,"You hair is a living, plant-like organism growing in your scalp like a fungus"
Tree,"Your skin is hardened like tree bark, texture is varied"
Pinchers,"You no longer have hands, they are like Crab/Scorpion Claws now"
Zesty,"Your skin takes on the properties of a citrus fruit, becoming waxy and emitting a pleasant smell when bruised or cut"
Amorphous Anatomy,"Your internal organs have become a syrupy, flowing mass that displaces itself freely within your body (Think Stretch Armstrong)"
Second Opinion,"An additional brain with an independent personality has grown somewhere within or on your body. If you have additional mutations, this brain may control them"
Guess Who,"Your body becomes a new identity, appearance, size, gender, etc each morning"
Breathable skin,You absorb oxygen (and other liquids or gases) through your skin
No Shadow,You don't cast a shadow
Sundew,"Your hair takes on the properties of a sundew, becoming plant like strands topped with sticky goo. Flying insects find this irresistible and are drawn to your hair, becoming stuck"
Hair Friend,your hair is actually a small furry animal attached to your body
Eye Head,"You head is mostly one large eyeball, no nose, normal mouth, normal ears"
Bug Eyes,"Your eyes bulge significantly from your sockets, resembling those of a bug, granting enhanced peripheral vision"
Jellyfish Skin,"Your skin is translucent and jelly-like, undulating with a slight shimmer"
Bubble Breath,"You exhale bubbles instead of air, which float around you in various colors"
Butterfly Wings,Iridescent insect wings sprout from your back in emergencies (allows gliding)
Diamond Teeth,"Your teeth become gem-like, sparkling with cut and polished brilliance"
Lava Blood,"Your blood glows inside your body, looking like molten lava beneath your skin"
Slinky Spine,"Your spine becomes flexible like a slinky, allowing you to contort and twist easily"
Pogo Legs,Your legs have organic shock absorbing springs and a single hoof toe on each foot
Bubblegum Skin,"Your skin takes on a tacky, stretchy and rubbery texture and vibrant colors"
Crystal Horns,Two shimmering crystal horns sprout from your forehead
Emotive Chromataphores,Your skin cells change color in response to your emotions
Velcro Hair,Your skin grows tiny hook hairs that will stick to fluffy surfaces
